grid_id,x_skill,ell_x,ell_y,weight_x,weight_ell,weight_joint,count_float,count_int,P_outside,P_byc_1,P_byc_2,P_byc_3,P_byc_4,P_byc_5,Pemp_outside,Pemp_byc_1,Cemp_byc_1,Pemp_byc_2,Cemp_byc_2,Pemp_byc_3,Cemp_byc_3,Pemp_byc_4,Cemp_byc_4,Pemp_byc_5,Cemp_byc_5,Cemp_outside
0,9.645269330410535,-8.660254037844386,-4.928203230275509,0.1666666666666666,0.0277777777777777,0.0046296296296296,2.314814814814808,2,6.216168607956636e-05,0.117032840272874,0.1186694465866657,0.1927586698602398,0.5714671883092893,9.693284851501868e-06,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0
1,9.645269330410535,0.0,-4.928203230275509,0.1666666666666666,0.1111111111111111,0.0185185185185185,9.25925925925926,11,4.678235343550498e-05,0.1278847209551764,0.131321393971748,0.2038121464994435,0.5369268790042704,8.077215926075093e-06,0.0,0.18181818181818182,2.0,0.0,0.0,0.2727272727272727,3.0,0.5454545454545454,6.0,0.0,0.0,0.0
2,9.645269330410535,8.660254037844386,-4.928203230275509,0.1666666666666666,0.0277777777777777,0.0046296296296296,2.314814814814808,3,4.820870251968438e-05,0.1611345133886463,0.1828915427434291,0.2327823019331458,0.4231364973900355,6.935842223671589e-06,0.0,0.6666666666666666,2.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.0,0.0,0.0
3,9.645269330410535,-8.660254037844386,2.0,0.1666666666666666,0.1111111111111111,0.0185185185185185,9.25925925925926,7,5.7668220170674245e-05,0.116974188143839,0.1194212112117952,0.197666104089035,0.5658698227692157,1.1005565944321902e-05,0.0,0.14285714285714285,1.0,0.0,0.0,0.2857142857142857,2.0,0.5714285714285714,4.0,0.0,0.0,0.0
4,9.645269330410535,0.0,2.0,0.1666666666666666,0.4444444444444444,0.074074074074074,37.03703703703704,37,3.979117460545226e-05,0.124417324664108,0.1267108979730713,0.2096040937582755,0.5392191177872768,8.774642662561425e-06,0.0,0.08108108108108109,3.0,0.10810810810810811,4.0,0.21621621621621623,8.0,0.5945945945945946,22.0,0.0,0.0,0.0
5,9.645269330410535,8.660254037844386,2.0,0.1666666666666666,0.1111111111111111,0.0185185185185185,9.25925925925926,11,3.935787520899467e-05,0.1860071100004564,0.1909543812134896,0.256656196359158,0.3663361329792722,6.821572414620057e-06,0.0,0.09090909090909091,1.0,0.09090909090909091,1.0,0.18181818181818182,2.0,0.6363636363636364,7.0,0.0,0.0,0.0
6,9.645269330410535,-8.660254037844386,8.928203230275509,0.1666666666666666,0.0277777777777777,0.0046296296296296,2.314814814814808,2,6.493243687946829e-05,0.1242066315725495,0.1313175952057903,0.2119900665834246,0.5324085864841598,1.2187717196083831e-05,0.0,0.0,0.0,0.5,1.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0
7,9.645269330410535,0.0,8.928203230275509,0.1666666666666666,0.1111111111111111,0.0185185185185185,9.25925925925926,9,4.936911924911084e-05,0.1386077653768774,0.1513411205222677,0.2353514351642039,0.4746399120992607,1.0397718140855233e-05,0.0,0.3333333333333333,3.0,0.1111111111111111,1.0,0.3333333333333333,3.0,0.2222222222222222,2.0,0.0,0.0,0.0
8,9.645269330410535,8.660254037844386,8.928203230275509,0.1666666666666666,0.0277777777777777,0.0046296296296296,2.314814814814808,3,4.702251690791572e-05,0.1640457955828407,0.2089000990804682,0.2558182093014602,0.3711810019320078,7.871586314996912e-06,0.0,0.0,0.0,0.3333333333333333,1.0,0.0,0.0,0.6666666666666666,2.0,0.0,0.0,0.0
9,10.009,-8.660254037844386,-4.928203230275509,0.6666666666666666,0.0277777777777777,0.0185185185185184,9.259259259259233,8,5.8219081101953874e-05,0.1096100323069936,0.1111428368643322,0.1805329511064694,0.5352218880801877,0.063434072560915,0.0,0.0,0.0,0.0,0.0,0.125,1.0,0.875,7.0,0.0,0.0,0.0
10,10.009,0.0,-4.928203230275509,0.6666666666666666,0.1111111111111111,0.074074074074074,37.03703703703704,43,4.4309874706711466e-05,0.12112592775476,0.1243809702994272,0.1930405379786294,0.5085499393937768,0.0528583146986998,0.0,0.09302325581395349,4.0,0.046511627906976744,2.0,0.23255813953488372,10.0,0.6046511627906976,26.0,0.023255813953488372,1.0,0.0
11,10.009,8.660254037844386,-4.928203230275509,0.6666666666666666,0.0277777777777777,0.0185185185185184,9.259259259259233,9,4.602087567966379e-05,0.1538218417169415,0.1745914847639914,0.2222180813374315,0.4039335493564696,0.0453890219494863,0.0,0.1111111111111111,1.0,0.0,0.0,0.2222222222222222,2.0,0.6666666666666666,6.0,0.0,0.0,0.0
12,10.009,-8.660254037844386,2.0,0.6666666666666666,0.1111111111111111,0.074074074074074,37.03703703703704,32,5.3515439481394824e-05,0.1085506899288742,0.1108214989553227,0.183431852059813,0.5251206388948736,0.072021804721635,0.0,0.0625,2.0,0.09375,3.0,0.15625,5.0,0.625,20.0,0.0625,2.0,0.0
13,10.009,0.0,2.0,0.6666666666666666,0.4444444444444444,0.2962962962962963,148.14814814814815,165,3.750660021871025e-05,0.1172740162291859,0.1194359060960862,0.197569863839091,0.5082603444471439,0.057422362788274,0.0,0.09696969696969697,16.0,0.12121212121212122,20.0,0.19393939393939394,32.0,0.5454545454545454,90.0,0.04242424242424243,7.0,0.0
14,10.009,8.660254037844386,2.0,0.6666666666666666,0.1111111111111111,0.074074074074074,37.03703703703704,38,3.760114779290644e-05,0.1777047362572096,0.182431187445569,0.2452004210090188,0.3499848281620457,0.0446412259783637,0.0,0.13157894736842105,5.0,0.23684210526315788,9.0,0.2631578947368421,10.0,0.34210526315789475,13.0,0.02631578947368421,1.0,0.0
15,10.009,-8.660254037844386,8.928203230275509,0.6666666666666666,0.0277777777777777,0.0185185185185184,9.259259259259233,8,5.9754286681016014e-05,0.1143015575473691,0.120845445008542,0.1950845497400244,0.489950742546012,0.0797579508713712,0.0,0.0,0.0,0.0,0.0,0.25,2.0,0.625,5.0,0.125,1.0,0.0
16,10.009,0.0,8.928203230275509,0.6666666666666666,0.1111111111111111,0.074074074074074,37.03703703703704,30,4.6010326445708385e-05,0.1291776849556648,0.1410447353689471,0.2193394681953137,0.4423481287418656,0.0680439724117629,0.0,0.06666666666666667,2.0,0.1,3.0,0.3,9.0,0.5333333333333333,16.0,0.0,0.0,0.0
17,10.009,8.660254037844386,8.928203230275509,0.6666666666666666,0.0277777777777777,0.0185185185185184,9.259259259259233,12,4.460061345236695e-05,0.1555965864524922,0.1981406607284497,0.2426422449796693,0.3520632585083394,0.0515126487175969,0.0,0.16666666666666666,2.0,0.25,3.0,0.16666666666666666,2.0,0.4166666666666667,5.0,0.0,0.0,0.0
18,10.372730669589464,-8.660254037844386,-4.928203230275509,0.1666666666666666,0.0277777777777777,0.0046296296296296,2.314814814814808,1,3.5969294982651926e-05,0.0677199899154015,0.0686669972921946,0.1115380533242278,0.3306743014341751,0.4213646887390181,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
19,10.372730669589464,0.0,-4.928203230275509,0.1666666666666666,0.1111111111111111,0.0185185185185185,9.25925925925926,12,3.0356632383544858e-05,0.0829832014941383,0.0852132265297608,0.132251799070228,0.3484068429675017,0.3511145733059875,0.0,0.08333333333333333,1.0,0.0,0.0,0.3333333333333333,4.0,0.08333333333333333,1.0,0.5,6.0,0.0
20,10.372730669589464,8.660254037844386,-4.928203230275509,0.1666666666666666,0.0277777777777777,0.0046296296296296,2.314814814814808,1,3.367404388386688e-05,0.112553343928708,0.1277507486084209,0.1625997183285243,0.2955631735883396,0.3014993415021231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
21,10.372730669589464,-8.660254037844386,2.0,0.1666666666666666,0.1111111111111111,0.0185185185185185,9.25925925925926,6,3.0079542637458287e-05,0.0610133288202977,0.062289687523403,0.1031019509242621,0.2951557307669895,0.4784092224224102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,2.0,0.6666666666666666,4.0,0.0
22,10.372730669589464,0.0,2.0,0.1666666666666666,0.4444444444444444,0.074074074074074,37.03703703703704,40,2.4613781400061677e-05,0.0769613076775885,0.0783800522261372,0.1296556182490101,0.3335468674737761,0.3814315405920878,0.0,0.025,1.0,0.075,3.0,0.2,8.0,0.425,17.0,0.275,11.0,0.0
23,10.372730669589464,8.660254037844386,2.0,0.1666666666666666,0.1111111111111111,0.0185185185185185,9.25925925925926,6,2.768719213365113e-05,0.1308509304798765,0.1343312008929812,0.180550636515665,0.2577074836798864,0.296532061239457,0.0,0.3333333333333333,2.0,0.0,0.0,0.3333333333333333,2.0,0.3333333333333333,2.0,0.0,0.0,0.0
24,10.372730669589464,-8.660254037844386,8.928203230275509,0.1666666666666666,0.0277777777777777,0.0046296296296296,2.314814814814808,1,3.053179567989396e-05,0.0584030367488034,0.0617466735992158,0.0996795701831857,0.2503431434883094,0.5297970441848057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
25,10.372730669589464,0.0,8.928203230275509,0.1666666666666666,0.1111111111111111,0.0185185185185185,9.25925925925926,10,2.7055238388476793e-05,0.075959753623375,0.0829378801158761,0.1289771679196476,0.2601119139619601,0.4519862291407524,0.0,0.0,0.0,0.2,2.0,0.0,0.0,0.3,3.0,0.5,5.0,0.0
26,10.372730669589464,8.660254037844386,8.928203230275509,0.1666666666666666,0.0277777777777777,0.0046296296296296,2.314814814814808,2,3.093278801916239e-05,0.1079141261225138,0.1374205998945658,0.1682847061389793,0.2441737299511535,0.3421759051047681,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0
